Treatment,Timepoint,infiltration_rate_mlpermin_avg,infiltration_rate_mlpermin_sd,conductivity_uSpercm_avg,conductivity_uSpercm_sd,pH_avg,pH_sd,doc_mgperL_avg,doc_mgperL_sd,tdn_mgperL_avg,tdn_mgperL_sd,CtoN_ratio_avg,CtoN_ratio_sd,Na_ppm_avg,Na_ppm_sd,K_ppm_avg,K_ppm_sd,Mg_ppm_avg,Mg_ppm_sd,Ca_ppm_avg,Ca_ppm_sd,Al_ppm_avg,Al_ppm_sd,Fe_ppm_avg,Fe_ppm_sd,Mn_ppm_avg,Mn_ppm_sd,S_ppm_avg,S_ppm_sd,pB_avg,pB_sd,pT_avg,pT_sd,pA_avg,pA_sd,pM_avg,pM_sd,pC_avg,pC_sd,pD_avg,pD_sd,pE_avg,pE_sd,pN_avg,pN_sd,rAT_avg,rAT_sd,rCA_avg,rCA_sd,rCM_avg,rCM_sd,rCT_avg,rCT_sd,FI_avg,FI_sd,FI_max_avg,FI_max_sd,HIX_avg,HIX_sd,HIX_ohno_avg,HIX_ohno_sd,fresh_avg,fresh_sd,RFE_avg,RFE_sd,BIX_avg,BIX_sd,SUVA254_avg,SUVA254_sd,SUVA280_avg,SUVA280_sd,SUVA350_avg,SUVA350_sd,SUVA370_avg,SUVA370_sd,SVA412_avg,SVA412_sd,SVA440_avg,SVA440_sd,SVA480_avg,SVA480_sd,SVA510_avg,SVA510_sd,SVA532_avg,SVA532_sd,SVA555_avg,SVA555_sd,S275_295_avg,S275_295_sd,S350_400_avg,S350_400_sd,SR_avg,SR_sd,a254_avg,a254_sd
SW,5,6.4,6.7,1039.44,145.09,4.22,0.14,15.29,8.22,2.43,1.38,7.17,3.52,189.17,22.81,9.84,1.93,9.48,3.34,3.77,1.57,2.64,1.04,4.07,2.55,NA,NA,21.84,2.88,0.08,0.02,0.07,0.02,0.13,0.02,0.07,0.01,0.07,0.01,0.03,0,NA,NA,0.05,0.01,1.96,0.81,0.57,0.04,1.06,0.03,1.11,0.46,NA,NA,NA,NA,3.33,1.29,0.75,0.07,0.89,0.09,1.34,0.74,0.92,0.11,1.66,0.4,1.2,0.31,0.45,0.15,0.35,0.12,0.21,0.08,0.17,0.06,0.13,0.05,0.12,0.05,0.11,0.05,0.11,0.05,0.01,0,0.01,0,1.06,0.09,0.27,0.22
SW,6,5.71,4.05,522.62,135.48,4.51,0.23,21.78,16.89,1.78,1.1,12.52,6.71,98,27.89,5.63,2.44,3.38,1.14,1.41,0.36,1.25,0.38,1.48,0.96,NA,NA,15.66,5.32,0.04,0.01,0.04,0.01,0.15,0.05,0.07,0.02,0.08,0.02,0.03,0.01,NA,NA,0.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.42,2.32,0.85,0.05,NA,NA,0.61,0.34,NA,NA,2.36,0.59,1.79,0.44,0.77,0.21,0.62,0.18,0.41,0.15,0.36,0.15,0.3,0.13,0.28,0.13,0.26,0.13,0.26,0.13,0.01,0,0.01,0,1.18,0.25,0.57,0.59
SW,7,4.82,3.2,302.98,62.91,4.8,0.33,29.42,22.27,1.49,0.7,18.55,7.6,57.96,10.24,3.39,1.04,1.49,0.71,0.74,0.25,1.16,0.65,0.73,0.44,NA,NA,11.52,5.06,0.04,0.01,0.04,0,0.18,0.05,0.09,0.02,0.1,0.02,0.04,0.01,NA,NA,0.04,0.01,4.94,1.61,0.52,0.01,1.07,0.03,2.54,0.78,1.56,0.06,458.8,2.28,8.84,2.24,0.89,0.02,0.58,0.05,0.44,0.25,0.6,0.05,2.92,0.53,2.22,0.41,0.95,0.21,0.75,0.18,0.49,0.15,0.42,0.15,0.34,0.13,0.31,0.13,0.3,0.13,0.29,0.13,0.01,0,0.01,0,1.1,0.16,0.91,0.85
SW,8,3.86,1.92,174.52,41.04,5.11,0.41,35.19,21.68,1.42,0.65,23.66,6.4,34.46,6.07,2.06,0.49,0.65,0.45,0.4,0.18,1.29,0.64,0.76,0.45,NA,NA,8.02,3.75,0.02,0,0.03,0,0.21,0.05,0.1,0.02,0.1,0.02,0.05,0.01,NA,NA,0.04,0.01,NA,NA,0.51,0.01,1.07,0.02,NA,NA,1.5,0.04,460.4,0.89,12.1,1.93,0.92,0.01,0.54,0.04,0.31,0.15,0.55,0.03,3.3,0.46,2.53,0.35,1.11,0.19,0.89,0.17,0.59,0.16,0.51,0.18,0.42,0.16,0.39,0.17,0.37,0.17,0.36,0.17,0.01,0,0.01,0,1.13,0.21,1.2,0.87
SW,9,4.57,3.54,118.98,24.86,5.34,0.33,40.62,22.19,3.33,4.11,22.08,11.96,23.87,3.83,1.39,0.22,0.3,0.2,0.35,0.09,1.4,0.82,0.84,0.76,NA,NA,6.01,2.99,0.02,0,0.03,0.01,0.23,0.06,0.11,0.02,0.11,0.03,0.05,0.01,NA,NA,0.04,0.01,NA,NA,0.5,0.01,1.08,0.02,NA,NA,1.48,0.03,463.8,3.35,13.74,1.71,0.93,0.01,0.51,0.03,0.26,0.12,0.52,0.03,3.53,0.54,2.71,0.42,1.2,0.19,0.96,0.16,0.64,0.12,0.55,0.12,0.45,0.11,0.41,0.11,0.4,0.11,0.39,0.11,0.01,0,0.01,0,1.11,0.14,1.5,1
SW,10,3.06,2.4,94.35,23.16,5.48,0.24,52.47,25.28,1.69,0.66,30.22,4.07,21.04,4.6,1.26,0.12,0.21,0.12,0.21,0.06,1.78,0.9,1.26,0.87,NA,NA,4.65,2.56,0.02,0.01,0.03,0.01,0.23,0.04,0.11,0.01,0.11,0.02,0.05,0.01,NA,NA,0.04,0,NA,NA,0.5,0.01,1.08,0.02,NA,NA,1.45,0.04,440.6,47.31,13.09,2.39,0.93,0.01,0.5,0.03,0.18,0.08,0.52,0.02,3.69,0.49,2.86,0.43,1.28,0.26,1.03,0.23,0.7,0.18,0.61,0.16,0.5,0.14,0.46,0.13,0.44,0.13,0.43,0.12,0.01,0,0.01,0,1.1,0.07,1.98,1.1
SW,11,2.41,1.77,62.52,5.92,5.66,0.24,52.79,18.23,1.58,0.45,32.97,2.59,14.51,1.23,0.89,0.17,0.08,0.03,0.18,0.03,1.75,0.54,1.01,0.62,NA,NA,2.94,1.7,0.02,0,0.03,0,0.26,0.05,0.12,0.02,0.13,0.02,0.06,0.01,NA,NA,0.05,0.01,NA,NA,0.5,0.01,1.08,0.01,NA,NA,1.44,0.04,464.2,2.86,15.79,1.16,0.94,0,0.49,0.02,0.17,0.06,0.5,0.02,3.99,0.5,3.07,0.41,1.36,0.24,1.09,0.21,0.73,0.16,0.63,0.14,0.52,0.12,0.47,0.12,0.45,0.11,0.44,0.11,0.01,0,0.01,0,1.07,0.06,2.15,0.94
SW,12,2.46,1.95,52.12,4.56,5.79,0.2,51.5,14.47,1.5,0.37,34.08,1.59,12.11,1.5,0.58,0.16,0.06,0.02,0.17,0.04,1.79,0.48,1.24,0.58,NA,NA,2.16,1.03,0.02,0.01,0.03,0,0.26,0.04,0.12,0.02,0.13,0.02,0.06,0.01,NA,NA,0.05,0.01,NA,NA,0.5,0.01,1.08,0.02,NA,NA,1.43,0.02,464.4,2.88,15.6,1.98,0.94,0.01,0.48,0.02,0.17,0.04,0.49,0.02,4.02,0.45,3.11,0.38,1.39,0.24,1.11,0.21,0.75,0.17,0.64,0.15,0.52,0.13,0.48,0.12,0.46,0.12,0.44,0.12,0.01,0,0.01,0,1.07,0.05,2.1,0.76
Control,1,39.66,7.18,12.81,6.38,6.3,0.33,6.42,2.16,0.44,0.07,14.4,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.01,0.03,0,0.16,0.04,0.1,0.06,0.12,0.08,0.03,0.01,NA,NA,0.03,0,5.64,0.96,0.71,0.32,1.14,0.12,4.14,2.52,1.69,0.22,454,9.35,7.4,1.51,0.88,0.02,0.5,0.12,1.31,0.24,0.5,0.12,2.78,0.58,2.17,0.47,0.98,0.26,0.79,0.23,0.5,0.19,0.43,0.2,0.35,0.19,0.32,0.19,0.31,0.19,0.3,0.19,0.01,0,0.01,0,1.07,0.28,0.18,0.08
Control,2,19.38,3.96,12.48,3.84,6.23,0.21,9.39,3.25,0.46,0.06,20.72,7.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.03,0,0.17,0.02,0.1,0.03,0.12,0.05,0.04,0,NA,NA,0.03,0,6.96,1.14,0.68,0.25,1.14,0.11,4.91,2.67,1.66,0.15,454.2,8.67,10.65,2.17,0.91,0.02,0.5,0.11,1.18,0.4,0.51,0.11,2.82,0.3,2.15,0.26,0.91,0.16,0.71,0.14,0.43,0.12,0.36,0.13,0.29,0.12,0.26,0.12,0.25,0.12,0.24,0.12,0.01,0,0.01,0,1,0.2,0.27,0.11
Control,3,18.29,5.26,11.43,3.22,6.22,0.31,9.66,3.7,0.45,0.04,21.21,7.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.02,0,0.18,0.02,0.1,0.04,0.12,0.06,0.04,0,NA,NA,0.03,0,7.28,1.23,0.66,0.25,1.13,0.12,5.01,2.82,1.64,0.14,456.2,8.61,11.34,2.58,0.92,0.02,0.5,0.11,1.13,0.37,0.51,0.11,2.87,0.36,2.2,0.31,0.93,0.17,0.73,0.14,0.45,0.12,0.38,0.13,0.3,0.12,0.27,0.12,0.26,0.12,0.25,0.12,0.01,0,0.01,0,1.01,0.21,0.29,0.14
Control,4,18.93,6.09,9.71,1.8,6.1,0.31,9.48,3.56,0.46,0.03,20.59,7.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.18,0.02,0.1,0.03,0.12,0.05,0.04,0,NA,NA,0.03,0,7.52,1.25,0.64,0.23,1.12,0.11,4.97,2.73,1.62,0.11,457,6.78,11.14,1.56,0.92,0.01,0.5,0.1,1.12,0.42,0.51,0.1,2.97,0.35,2.29,0.33,0.99,0.23,0.78,0.2,0.49,0.17,0.42,0.17,0.34,0.16,0.31,0.15,0.3,0.15,0.29,0.15,0.01,0,0.01,0,1.02,0.17,0.29,0.14
Control,5,19.32,3.54,9.36,1.8,6.16,0.4,9.42,3.82,0.47,0.04,19.81,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.16,0.01,0.08,0.01,0.09,0.02,0.04,0,NA,NA,0.03,0,7.15,1.14,0.58,0.1,1.11,0.07,4.25,1.49,1.56,0.04,458,5.83,11.12,1.82,0.92,0.01,0.52,0.07,1,0.41,0.54,0.07,2.9,0.45,2.26,0.37,0.98,0.22,0.78,0.19,0.51,0.16,0.44,0.17,0.36,0.16,0.33,0.15,0.32,0.15,0.31,0.16,0.01,0,0.01,0,1.07,0.25,0.29,0.16
Control,6,22.74,5.5,8.94,1.36,6.11,0.3,9.44,3.88,0.48,0.08,19.13,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.17,0.01,0.09,0.01,0.1,0.01,0.04,0,NA,NA,0.03,0,7.31,0.87,0.59,0.12,1.11,0.07,4.36,1.42,1.57,0.05,458.8,1.64,11.38,1.58,0.92,0.01,0.52,0.07,1.02,0.46,0.53,0.08,3.02,0.3,2.34,0.29,1.05,0.22,0.84,0.21,0.55,0.2,0.48,0.21,0.4,0.2,0.36,0.2,0.35,0.2,0.34,0.2,0.01,0,0.01,0,1.06,0.24,0.29,0.14
Control,7,16.94,4.8,9.14,1.41,6.05,0.2,9.22,3.53,0.52,0.05,17.27,5.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.17,0.02,0.09,0.01,0.1,0.01,0.04,0,NA,NA,0.03,0,7.29,0.71,0.57,0.09,1.1,0.07,4.16,0.93,1.55,0.03,460,3.08,11.75,1.39,0.92,0.01,0.52,0.06,1,0.43,0.53,0.06,3.1,0.45,2.41,0.38,1.09,0.23,0.87,0.21,0.57,0.19,0.5,0.2,0.41,0.19,0.37,0.19,0.36,0.19,0.35,0.19,0.01,0,0.01,0,1.06,0.23,0.3,0.15
Control,8,629.51,1362.19,8.18,1.5,6.25,0.16,9.12,3.75,0.51,0.08,17.36,5.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.17,0.01,0.09,0,0.1,0.01,0.04,0,NA,NA,0.03,0,7.58,0.95,0.57,0.08,1.1,0.05,4.34,1.05,1.53,0.03,461.2,1.79,12.28,1.51,0.92,0.01,0.51,0.06,1,0.45,0.52,0.07,3.07,0.22,2.39,0.21,1.1,0.19,0.89,0.19,0.59,0.2,0.52,0.22,0.43,0.21,0.4,0.21,0.38,0.21,0.37,0.21,0.01,0,0.01,0,1.07,0.27,0.29,0.13
Control,9,20.09,8.54,7.62,0.72,6.21,0.17,8.22,2.71,0.51,0.05,16.14,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.17,0.01,0.09,0,0.1,0,0.04,0,NA,NA,0.03,0,7.64,0.88,0.55,0.04,1.1,0.05,4.22,0.79,1.53,0.03,460.8,1.79,12.39,1.43,0.92,0.01,0.52,0.05,1.05,0.38,0.53,0.05,3.22,0.42,2.5,0.38,1.13,0.24,0.91,0.22,0.6,0.19,0.53,0.2,0.44,0.18,0.4,0.18,0.39,0.18,0.38,0.18,0.01,0,0.01,0,1.06,0.19,0.27,0.13
Control,10,23.19,13.9,7.89,0.89,6.19,0.27,8.3,3.05,0.48,0.12,18.27,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.17,0.01,0.08,0,0.09,0,0.04,0,NA,NA,0.03,0,7.42,0.68,0.55,0.04,1.1,0.05,4.1,0.52,1.54,0.04,460.6,2.19,12.63,1.84,0.93,0.01,0.53,0.05,1.05,0.4,0.54,0.05,3.1,0.51,2.41,0.43,1.1,0.26,0.89,0.24,0.59,0.2,0.53,0.21,0.44,0.2,0.41,0.19,0.4,0.19,0.39,0.2,0.01,0,0.01,0,1.1,0.26,0.27,0.13
Control,11,21.7,14.63,8.5,0.98,6.14,0.39,8.85,3.16,0.41,0.06,21.52,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.02,0,0.18,0.02,0.09,0.01,0.1,0,0.04,0,NA,NA,0.03,0,7.66,0.57,0.54,0.04,1.1,0.05,4.16,0.57,1.53,0.03,460.8,1.79,12.46,1.35,0.93,0.01,0.53,0.05,1.02,0.47,0.54,0.05,3.27,0.39,2.54,0.35,1.14,0.23,0.91,0.21,0.6,0.18,0.52,0.19,0.43,0.18,0.4,0.18,0.38,0.18,0.37,0.18,0.01,0,0.01,0,1.06,0.21,0.3,0.13
Control,12,25.64,13.31,7.88,1.09,6.07,0.16,8.44,3.08,0.4,0.07,20.65,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.17,0.02,0.08,0.01,0.09,0.01,0.04,0,NA,NA,0.03,0,7.79,0.36,0.54,0.02,1.1,0.04,4.2,0.26,1.52,0.04,462,0,12.77,1.22,0.93,0.01,0.53,0.04,1,0.44,0.54,0.04,3.21,0.43,2.5,0.39,1.14,0.24,0.92,0.22,0.61,0.18,0.54,0.19,0.45,0.17,0.41,0.17,0.4,0.17,0.39,0.17,0.01,0,0.01,0,1.08,0.21,0.28,0.14
Control,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.01,0.05,0,0.22,0.02,0.1,0.03,0.11,0.05,0.04,0,NA,NA,0.05,0,3.97,0.57,0.54,0.29,1.1,0.11,2.05,0.79,1.64,0.21,457,9,4.05,0.28,0.8,0.01,0.53,0.09,0.3,0.05,0.54,0.09,5.11,0.66,4.05,0.53,1.86,0.24,1.49,0.2,0.76,0.1,0.52,0.07,0.38,0.05,0.3,0.04,0.25,0.04,0.22,0.03,0.01,0,0.01,0,0.8,0.01,0.77,0.06
