Random_ID,Sample_ID,Treatment,Wash,Rep,npoc_raw,tdn_raw,run_datetime,rundate,npoc_blank,npoc_blank_SD,tdn_blank,tdn_blank_SD,standard_high_C,standard_high_N,tdn_flag,npoc_flag,doc_mg_l,tdn_mg_l
TMP_IS_1_A,IS PB 0 A,0,0,1,0.2645,0.04541,4/12/2024 12:29:05 AM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2645,0.04541
TMP_IS_1_B,IS PB 0 B,0,0,2,0.1753,0.04314,4/12/2024 12:50:05 AM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.1753,0.04314
TMP_IS_1_C,IS PB 0 C,0,0,3,0.2107,0.06807,4/12/2024 1:09:41 AM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2107,0.06807
TMP_IS_2_A,IS 0.A.1,0,1,1,14.75,1.061,4/12/2024 1:32:56 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,14.75,1.061
TMP_IS_2_B,IS 0.B.1,0,1,2,16.08,1.096,4/12/2024 1:59:44 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,16.08,1.096
TMP_IS_2_C,IS 0.C.1,0,1,3,23.29,1.357,4/12/2024 2:18:53 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,23.29,1.357
TMP_IS_3_A,IS 0.A.2,0,2,1,12.32,0.9105,4/12/2024 2:42:22 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,12.32,0.9105
TMP_IS_3_B,IS 0.B.2,0,2,2,12.73,0.8896,4/12/2024 3:06:49 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,12.73,0.8896
TMP_IS_3_C,IS 0.C.2,0,2,3,14.18,0.9206,4/12/2024 3:32:32 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,14.18,0.9206
TMP_IS_4_A,IS 0.A.3,0,3,1,8.589,0.6617,4/12/2024 5:17:37 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,8.589,0.6617
TMP_IS_4_B,IS 0.B.3,0,3,2,9.708,0.7409,4/12/2024 5:39:34 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,9.708,0.7409
TMP_IS_4_C,IS 0.C.3,0,3,3,9.305,0.6441,4/12/2024 6:01:46 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,9.305,0.6441
TMP_IS_5_A,IS 0.A.4,0,4,1,7.481,0.5927,4/12/2024 6:27:02 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,7.481,0.5927
TMP_IS_5_B,IS 0.B.4,0,4,2,8.577,0.6111,4/12/2024 6:51:02 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,8.577,0.6111
TMP_IS_5_C,IS 0.C.4,0,4,3,8.675,0.5804,4/12/2024 7:12:10 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,8.675,0.5804
TMP_IS_6_A,IS 0.A.5,0,5,1,6.649,0.5023,4/12/2024 7:36:04 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,6.649,0.5023
TMP_IS_6_B,IS 0.B.5,0,5,2,7.207,0.5356,4/12/2024 7:59:58 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,7.207,0.5356
TMP_IS_6_C,IS 0.C.5,0,5,3,7.475,0.5105,4/12/2024 8:24:08 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,7.475,0.5105
TMP_IS_7_A,IS 0.A.6,0,6,1,7.254,0.5079,4/12/2024 10:30:10 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,7.254,0.5079
TMP_IS_7_B,IS 0.B.6,0,6,2,6.953,0.4976,4/12/2024 10:51:41 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,6.953,0.4976
TMP_IS_7_C,IS 0.C.6,0,6,3,6.811,0.4554,4/12/2024 11:14:49 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,6.811,0.4554
TMP_IS_8_A,IS PB 01 A,0.1,0,1,0.2091,0.06779,4/12/2024 11:33:34 AM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2091,0.06779
TMP_IS_8_B,IS PB 01 B,0.1,0,2,0.2507,0.1085,4/12/2024 11:55:08 AM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2507,0.1085
TMP_IS_8_C,IS PB 01 C,0.1,0,3,0.174,0.09139,4/12/2024 12:14:03 PM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.174,0.09139
TMP_IS_9_A,IS 01.A.1,0.1,1,1,11.15,1.119,4/12/2024 12:39:29 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,11.15,1.119
TMP_IS_9_B,IS 01.B.1,0.1,1,2,10.61,1.015,4/12/2024 1:01:19 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,10.61,1.015
TMP_IS_9_C,IS 01.C.1,0.1,1,3,10.72,1.043,4/12/2024 1:25:50 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,10.72,1.043
TMP_IS_10_A,IS 01.A.2,0.1,2,1,16.04,0.9904,4/12/2024 3:31:42 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,16.04,0.9904
TMP_IS_10_B,IS 01.B.2,0.1,2,2,16.4,0.9668,4/12/2024 3:56:06 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,16.4,0.9668
TMP_IS_10_C,IS 01.C.2,0.1,2,3,17.09,1.02,4/12/2024 4:18:07 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,17.09,1.02
TMP_IS_11_A,IS 01.A.3,0.1,3,1,12.57,0.8209,4/12/2024 4:40:05 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,12.57,0.8209
TMP_IS_11_B,IS 01.B.3,0.1,3,2,12.33,0.7353,4/12/2024 5:01:59 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,12.33,0.7353
TMP_IS_11_C,IS 01.C.3,0.1,3,3,13.07,0.8569,4/12/2024 5:26:23 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,13.07,0.8569
TMP_IS_12_A,IS 01.A.4,0.1,4,1,9.11,0.5975,4/12/2024 5:48:03 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,9.11,0.5975
TMP_IS_12_B,IS 01.B.4,0.1,4,2,9.237,0.5748,4/12/2024 6:09:26 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,9.237,0.5748
TMP_IS_12_C,IS 01.C.4,0.1,4,3,11.41,0.9244,4/12/2024 6:33:00 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,11.41,0.9244
TMP_IS_13_A,IS 01.A.5,0.1,5,1,7.407,0.5217,4/12/2024 8:14:43 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,7.407,0.5217
TMP_IS_13_B,IS 01.B.5,0.1,5,2,7.243,0.4242,4/12/2024 8:39:56 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,7.243,0.4242
TMP_IS_13_C,IS 01.C.5,0.1,5,3,6.964,0.4979,4/12/2024 9:00:43 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,6.964,0.4979
TMP_IS_14_A,IS 01.A.6,0.1,6,1,7.017,0.4751,4/12/2024 9:24:14 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,7.017,0.4751
TMP_IS_14_B,IS 01.B.6,0.1,6,2,6.373,0.423,4/12/2024 9:45:41 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,6.373,0.423
TMP_IS_14_C,IS 01.C.6,0.1,6,3,5.944,0.4102,4/12/2024 10:07:23 PM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,5.944,0.4102
TMP_IS_15_A,IS PB 1 A,1,0,1,0.1994,0.06404,4/12/2024 10:31:23 PM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.1994,0.06404
TMP_IS_15_B,IS PB 1 B,1,0,2,0.1636,0.04165,4/12/2024 10:50:01 PM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.1636,0.04165
TMP_IS_15_C,IS PB 1 C,1,0,3,0.2163,0.03146,4/12/2024 11:09:42 PM,20240411,0.15,0.03,0.06,0.03,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2163,0.03146
TMP_IS_16_A,IS 1.A.1,1,1,1,5.458,1.157,4/13/2024 12:56:28 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,5.458,1.157
TMP_IS_16_B,IS 1.B.1,1,1,2,5.018,1.253,4/13/2024 1:20:31 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,5.018,1.253
TMP_IS_16_C,IS 1.C.1,1,1,3,4.877,1.178,4/13/2024 1:44:02 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,4.877,1.178
TMP_IS_17_A,IS 1.A.2,1,2,1,19.49,1.036,4/13/2024 2:08:10 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,19.49,1.036
TMP_IS_17_B,IS 1.B.2,1,2,2,18.74,1.091,4/13/2024 2:30:36 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,18.74,1.091
TMP_IS_17_C,IS 1.C.2,1,2,3,21.45,1.154,4/13/2024 2:54:03 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,21.45,1.154
TMP_IS_18_A,IS 1.A.3,1,3,1,18.97,1.162,4/13/2024 3:18:30 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,18.97,1.162
TMP_IS_18_B,IS 1.B.3,1,3,2,19.11,1.122,4/13/2024 3:41:41 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,19.11,1.122
TMP_IS_18_C,IS 1.C.3,1,3,3,18.85,1.15,4/13/2024 4:05:52 AM,20240411,0.15,0.03,0.06,0.03,50,10,NA,NA,18.85,1.15
TMP_IS_19_A,IS 1.A.4,1,4,1,14.05,0.9958,4/15/2024 5:53:18 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,14.05,0.9958
TMP_IS_19_B,IS 1.B.4,1,4,2,14.19,0.9597,4/15/2024 6:16:04 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,14.19,0.9597
TMP_IS_19_C,IS 1.C.4,1,4,3,14.3,0.8832,4/15/2024 6:38:43 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,14.3,0.8832
TMP_IS_20_A,IS 1.A.5,1,5,1,11.24,0.8003,4/15/2024 7:00:48 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,11.24,0.8003
TMP_IS_20_B,IS 1.B.5,1,5,2,12.39,0.8499,4/15/2024 7:29:26 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,12.39,0.8499
TMP_IS_20_C,IS 1.C.5,1,5,3,10.45,0.6964,4/15/2024 7:51:51 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,10.45,0.6964
TMP_IS_21_A,IS 1.A.6,1,6,1,9.961,0.6741,4/15/2024 8:13:29 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,9.961,0.6741
TMP_IS_21_B,IS 1.B.6,1,6,2,9.928,0.6911,4/15/2024 8:39:03 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,9.928,0.6911
TMP_IS_21_C,IS 1.C.6,1,6,3,8.927,0.6434,4/15/2024 9:00:20 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,8.927,0.6434
TMP_IS_22_A,IS PB 5 A,5,0,1,0.1881,0.05476,4/15/2024 10:45:24 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.1881,0.05476
TMP_IS_22_B,IS PB 5 B,5,0,2,0.2418,0.05185,4/15/2024 11:03:45 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2418,0.05185
TMP_IS_22_C,IS PB 5 C,5,0,3,0.1931,0.04996,4/15/2024 11:22:01 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.1931,0.04996
TMP_IS_23_A,IS 5.A.1,5,1,1,5.204,1.643,4/15/2024 11:46:58 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,5.204,1.643
TMP_IS_23_B,IS 5.B.1,5,1,2,5.28,1.685,4/16/2024 12:08:06 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,5.28,1.685
TMP_IS_23_C,IS 5.C.1,5,1,3,5.565,1.723,4/16/2024 12:29:47 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,5.565,1.723
TMP_IS_24_A,IS 5.A.2,5,2,1,22.58,1.267,4/16/2024 12:56:07 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,22.58,1.267
TMP_IS_24_B,IS 5.B.2,5,2,2,21.03,1.273,4/16/2024 1:19:32 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,21.03,1.273
TMP_IS_24_C,IS 5.C.2,5,2,3,22.5,1.208,4/16/2024 1:43:20 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,22.5,1.208
TMP_IS_25_A,IS 5.A.3,5,3,1,28.39,1.794,4/16/2024 3:28:15 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,28.39,1.794
TMP_IS_25_B,IS 5.B.3,5,3,2,27.99,1.695,4/16/2024 3:50:43 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,27.99,1.695
TMP_IS_25_C,IS 5.C.3,5,3,3,30.05,1.823,4/16/2024 4:14:38 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,30.05,1.823
TMP_IS_26_A,IS 5.A.4,5,4,1,20.33,1.347,4/16/2024 4:37:17 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,20.33,1.347
TMP_IS_26_B,IS 5.B.4,5,4,2,21.67,1.437,4/16/2024 4:59:53 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,21.67,1.437
TMP_IS_26_C,IS 5.C.4,5,4,3,21.94,1.461,4/16/2024 5:24:09 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,21.94,1.461
TMP_IS_27_A,IS 5.A.5,5,5,1,13.49,0.922,4/16/2024 5:46:11 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,13.49,0.922
TMP_IS_27_B,IS 5.B.5,5,5,2,14.56,0.9644,4/16/2024 6:08:20 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,14.56,0.9644
TMP_IS_27_C,IS 5.C.5,5,5,3,13.85,0.8971,4/16/2024 6:31:29 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,13.85,0.8971
TMP_IS_28_A,IS 5.A.6,5,6,1,11.68,0.7695,4/16/2024 8:34:09 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,11.68,0.7695
TMP_IS_28_B,IS 5.B.6,5,6,2,12.16,0.8055,4/16/2024 8:56:11 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,12.16,0.8055
TMP_IS_28_C,IS 5.C.6,5,6,3,11.99,0.7459,4/16/2024 9:20:53 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,11.99,0.7459
TMP_IS_29_A,IS PB 25 A,25,0,1,0.2801,0.06409,4/16/2024 9:43:39 AM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2801,0.06409
TMP_IS_29_B,IS PB 25 B,25,0,2,0.2721,0.07079,4/16/2024 10:04:44 AM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2721,0.07079
TMP_IS_29_C,IS PB 25 C,25,0,3,0.2198,0.06874,4/16/2024 10:21:31 AM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.2198,0.06874
TMP_IS_30_A,IS 25.A.1,25,1,1,5.871,2.309,4/16/2024 10:39:36 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,5.871,2.309
TMP_IS_30_B,IS 25.B.1,25,1,2,5.328,2.33,4/16/2024 11:04:11 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,5.328,2.33
TMP_IS_30_C,IS 25.C.1,25,1,3,6.216,2.336,4/16/2024 11:28:18 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,6.216,2.336
TMP_IS_31_A,IS 25.A.2,25,2,1,13.84,0.8505,4/16/2024 1:09:42 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,13.84,0.8505
TMP_IS_31_B,IS 25.B.2,25,2,2,14.95,0.952,4/16/2024 1:34:41 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,14.95,0.952
TMP_IS_31_C,IS 25.C.2,25,2,3,13.97,0.8715,4/16/2024 1:58:56 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,13.97,0.8715
TMP_IS_32_A,IS 25.A.3,25,3,1,44.34,2.793,4/16/2024 2:23:01 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,44.34,2.793
TMP_IS_32_B,IS 25.B.3,25,3,2,45.33,2.814,4/16/2024 2:47:40 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,45.33,2.814
TMP_IS_32_C,IS 25.C.3,25,3,3,47.62,2.98,4/16/2024 3:11:22 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,47.62,2.98
TMP_IS_33_A,IS 25.A.4,25,4,1,29.77,2.029,4/16/2024 3:36:49 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,29.77,2.029
TMP_IS_33_B,IS 25.B.4,25,4,2,30.35,2.096,4/16/2024 4:00:21 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,30.35,2.096
TMP_IS_33_C,IS 25.C.4,25,4,3,31.46,2.155,4/16/2024 4:23:34 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,31.46,2.155
TMP_IS_34_A,IS 25.A.5,25,5,1,21.98,1.582,4/16/2024 6:07:36 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,21.98,1.582
TMP_IS_34_B,IS 25.B.5,25,5,2,22.79,1.624,4/16/2024 6:30:06 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,22.79,1.624
TMP_IS_34_C,IS 25.C.5,25,5,3,22.99,1.589,4/16/2024 6:53:14 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,22.99,1.589
TMP_IS_35_A,IS 25.A.6,25,6,1,15.46,1.067,4/16/2024 7:15:31 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,15.46,1.067
TMP_IS_35_B,IS 25.B.6,25,6,2,16.57,1.15,4/16/2024 7:37:50 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,16.57,1.15
TMP_IS_35_C,IS 25.C.6,25,6,3,15.72,1.081,4/16/2024 8:01:11 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,15.72,1.081
TMP_IS_36_A,IS PB 100 A,100,0,1,0.3428,0.05398,4/16/2024 8:19:58 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.3428,0.05398
TMP_IS_36_B,IS PB 100 B,100,0,2,0.4106,0.05123,4/16/2024 8:38:39 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.4106,0.05123
TMP_IS_36_C,IS PB 100 C,100,0,3,0.318,0.04652,4/16/2024 8:57:27 PM,20240415,0.19,0.03,0.06,0.01,50,10,blank is ≥ 15% of sample value,blank is ≥ 15% of sample value,0.318,0.04652
TMP_IS_37_A,IS 100.A.1,100,1,1,9.355,3.373,4/16/2024 10:37:24 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,9.355,3.373
TMP_IS_37_B,IS 100.B.1,100,1,2,10.21,3.641,4/16/2024 10:56:26 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,10.21,3.641
TMP_IS_37_C,IS 100.C.1,100,1,3,8.359,3.426,4/16/2024 11:14:49 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,8.359,3.426
TMP_IS_38_A,IS 100.A.2,100,2,1,7.657,1.229,4/16/2024 11:40:29 PM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,7.657,1.229
TMP_IS_38_B,IS 100.B.2,100,2,2,8.176,1.286,4/17/2024 12:01:49 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,8.176,1.286
TMP_IS_38_C,IS 100.C.2,100,2,3,6.877,1.182,4/17/2024 12:19:49 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,6.877,1.182
TMP_IS_39_A,IS 100.A.3,100,3,1,56.18,3.685,4/17/2024 12:43:43 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,value above cal curve,56.18,3.685
TMP_IS_39_B,IS 100.B.3,100,3,2,53.7,3.469,4/17/2024 1:03:43 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,value above cal curve,53.7,3.469
TMP_IS_39_C,IS 100.C.3,100,3,3,57.34,3.653,4/17/2024 1:27:39 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,value above cal curve,57.34,3.653
TMP_IS_40_A,IS 100.A.4,100,4,1,47.55,3.473,4/17/2024 3:15:58 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,47.55,3.473
TMP_IS_40_B,IS 100.B.4,100,4,2,46.53,3.197,4/17/2024 3:39:01 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,46.53,3.197
TMP_IS_40_C,IS 100.C.4,100,4,3,45.03,3.226,4/17/2024 4:02:05 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,45.03,3.226
TMP_IS_41_A,IS 100.A.5,100,5,1,27.03,1.934,4/17/2024 4:24:45 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,27.03,1.934
TMP_IS_41_B,IS 100.B.5,100,5,2,27.71,1.982,4/17/2024 4:47:21 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,27.71,1.982
TMP_IS_41_C,IS 100.C.5,100,5,3,27.56,1.946,4/17/2024 5:09:48 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,27.56,1.946
TMP_IS_42_A,IS 100.A.6,100,6,1,18.9,1.28,4/17/2024 5:32:33 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,18.9,1.28
TMP_IS_42_B,IS 100.B.6,100,6,2,20.31,1.418,4/17/2024 5:54:41 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,20.31,1.418
TMP_IS_42_C,IS 100.C.6,100,6,3,18.88,1.295,4/17/2024 6:16:58 AM,20240415,0.19,0.03,0.06,0.01,50,10,NA,NA,18.88,1.295
