sample_name,doc_mg_l,EMSL_ID,Actual_Vol_SPEd_mL,Actual_Vol_MeOH_mL,spe_doc_mg_l,sample_vol,total_vol,dil_fac,doc_recovery_per
TMP_0.A.5_EXP,7.76,EUP60985_01,6,1,3.13,0.22619348320282903,6.9373000000000005,5.1116267820584405,206.17772974024382
TMP_0.A.1_EXP,19.11,EUP60985_02,3,1,8.88,0.2,7,11.666666666666664,542.1245421245421
TMP_0.A.2_EXP,14.15,EUP60985_03,4,1,8.68,0.2373074008588027,6.9372,7.308242362959022,448.30772940271595
TMP_0.A.3_EXP,12,EUP60985_04,6,1,8.52,0.24362212679969672,6.992299999999999,4.7835693278037015,339.63342227406275
TMP_0.A.4_EXP,8,EUP60985_05,6,1,17.3,0.2256883051275576,6.9369000000000005,5.122773195299381,1107.7997034834912
TMP_0.A.6_EXP,7.38,EUP60985_06,12,1,21.46,0.19866127810053072,6.9251,2.9049026170798853,844.7047447497879
TMP_0.B.1_EXP,18.81,EUP60985_07,3,1,8.19,0.2133114422834047,7.0134,10.959562107756078,477.186675505169
TMP_0.B.3_EXP,12.96,EUP60985_08,4,1,8.51,0.1776963879767616,6.995500000000001,9.841927683013516,646.2562081978781
TMP_0.B.4_EXP,8.72,EUP60985_09,6,1,17.15,0.2224046476382924,6.903200000000001,5.173153284118874,1017.426362644939
TMP_0.B.5_EXP,7.84,EUP60985_10,6,1,8.32,0.22871937357918645,7.0221,5.1169692435118765,543.0253074747299
TMP_0.B.6_EXP,6.71,EUP60985_11,12,1,20.51,0.23490780500126288,6.9719,2.4732752777777782,755.9892093475743
TMP_0.C.1_EXP,17.44,EUP60985_12,4,1,7.54,0.24261177064915376,6.977,7.189469807391985,310.8291419021535
TMP_0.C.3_EXP,13.05,EUP60985_13,4,1,8.35,0.2,7,8.75,559.8659003831417
TMP_0.C.4_EXP,7.13,EUP60985_14,12,1,20.34,0.21343773680222228,6.9815,2.7258144477317616,777.6026068283876
TMP_0.C.5_EXP,7.34,EUP60985_15,12,1,7.9,0.242232887092701,6.9274,2.3831748870350977,256.49974942203374
TMP_01.A.1_EXP,11.87,EUP60985_16,6,1,4.91,0.21924728466784485,6.9843,5.3093017857142994,219.61812778312733
TMP_01.A.2_EXP,18.02,EUP60985_17,3,1,9.09,0.2232887092700178,6.977399999999999,10.416111085972844,525.42979895390215
TMP_01.A.3_EXP,16.32,EUP60985_18,4,1,9.1,0.2393281131598886,6.945200000000001,7.2548936147757335,404.53144543173516
TMP_01.A.4_EXP,9.48,EUP60985_19,6,1,16.25,0.2200050517807526,6.9611,5.273439513968621,903.9387352530601
TMP_01.A.5_EXP,8.41,EUP60985_20,6,1,4.06,0.22556201060874,6.972600000000001,5.152020044792824,248.71820905896388
TMP_01.A.6_EXP,6.73,EUP60985_21,12,1,20.02,0.2112907299823188,6.844800000000001,2.6995978481769276,803.0601622660042
TMP_01.B.1_EXP,12.29,EUP60985_22,6,1,17.34,0.2232887092700178,6.857000000000001,5.118186840120662,722.1266054328095
TMP_01.B.2_EXP,17.92,EUP60985_23,3,1,8.34,0.23755998989643895,6.960500000000001,9.766655856813733,454.5419076217998
TMP_01.B.3_EXP,16.31,EUP60985_24,4,1,8.38,0.23793887345289175,6.955500000000001,7.3080744426751725,375.48536989342705
TMP_01.B.4_EXP,9.23,EUP60985_25,6,1,9.85,0.23819146249052808,6.923000000000001,4.844142276422762,516.9534281989621
TMP_01.B.5_EXP,7.89,EUP60985_26,6,1,4.12,0.2226572366759276,6.9966,5.237197844583113,273.47598377290785
TMP_01.B.6_EXP,7.43,EUP60985_27,12,1,19.74,0.24627431169487168,6.964099999999999,2.356484777777785,626.0701145805313
TMP_01.C.1_EXP,11.56,EUP60985_28,6,1,4.45,0.22227835311947483,7.0386,5.2776169318181765,203.16085939957517
TMP_01.C.2_EXP,17.77,EUP60985_29,3,1,27.54,0.23781257893407415,6.9572,9.751656859621177,1511.3147434663322
TMP_01.C.3_EXP,15.79,EUP60985_30,4,1,8.95,0.2373074008588027,7.002,7.376508249068654,418.11113888007884
TMP_01.C.4_EXP,9.67,EUP60985_31,6,1,16.08,0.23137155847436255,6.950099999999999,5.00644939956331,832.50988981363
TMP_01.C.5_EXP,7.54,EUP60985_32,6,1,9.09,0.23402374336953752,6.9129,4.9232184025903996,593.5285846093731
TMP_1.A.2_EXP,17.23,EUP60985_33,4,1,7.51,0.24046476382925028,7.0058,7.283603518907548,317.4687314393249
TMP_1.A.3_EXP,24.75,EUP60985_34,2.5,1,46.17,0.236549633745896,6.982700000000001,11.807585392418554,2202.6513841129886
TMP_1.A.4_EXP,12.58,EUP60985_35,4,1,9.24,0.2019449355897959,7.0148,8.684050406504044,637.8428120516484
TMP_1.A.5_EXP,11.23,EUP60985_36,6,1,8.48,0.234528921444809,6.963,4.948217016693598,373.64986911452996
TMP_1.A.6_EXP,7.81,EUP60985_37,6,1,7.37,0.23301338721899456,6.976399999999999,4.989985112917798,470.88591910632744
TMP_1.B.1_EXP,5.33,EUP60985_38,12,1,10.02,0.23755998989643895,6.962200000000001,2.4422603048024056,459.1266088953115
TMP_1.B.2_EXP,16.65,EUP60985_39,4,1,9.32,0.241854003536246,6.8915999999999995,7.123719164490876,398.75713281114093
TMP_1.B.3_EXP,22.75,EUP60985_40,2.5,1,3.07,0.2413488254609745,6.9447,11.509813626373651,155.31924322183343
TMP_1.B.5_EXP,9.97,EUP60985_42,6,1,7.46,0.23301338721899456,6.962200000000001,4.979828328816625,372.61303242700114
TMP_1.B.6_EXP,7.25,EUP60985_43,12,1,12.98,0.18817883303864616,6.9265,3.0673393176733774,549.1595081848336
TMP_1.C.1_EXP,6.1,EUP60985_44,12,1,12.38,0.24336953776206155,6.9602,2.383275540563912,483.68772446198744
TMP_1.C.2_EXP,16.57,EUP60985_45,4,1,5.03,0.24286435968678893,6.9758,7.1807572022881105,217.9795336602848
TMP_1.C.3_EXP,22.59,EUP60985_46,2.5,1,16.48,0.236549633745896,6.9392,11.734027891083795,856.0282410139926
TMP_1.C.4_EXP,13.02,EUP60985_47,4,1,15.59,0.21672139429148857,7.0238,8.102338053613023,970.1647485086562
TMP_1.C.5_EXP,9.6,EUP60985_48,6,1,7.66,0.21154331901995396,6.969999999999999,5.4913890547263815,438.16708499170926
TMP_100.A.1_EXP,8.13,EUP60985_49,6,1,28.72,0.2538519828239461,6.929,4.5492389718076165,1607.0620328451994
TMP_100.A.2_EXP,3.5,EUP60985_50,19,1,17.72,0.220889113412478,6.9735000000000005,1.6615862598176394,841.2373863991019
TMP_100.A.3_EXP,28.2,EUP60985_51,2.5,1,9.57,0.23617075018944103,6.993,11.84397304812838,401.9390853566972
TMP_100.A.4_EXP,32.45,EUP60985_52,3,1,10.16,0.24122253094215693,6.9925,9.662585514834213,302.53272366938546
TMP_100.A.5_EXP,22.63,EUP60985_53,4,1,9.64,0.24362212679969672,7.006600000000001,7.190028356661489,306.2831345922084
TMP_100.A.6_EXP,14.54,EUP60985_54,4,1,8.27,0.2413488254609745,6.9615,7.211035714285729,410.1462541756739
TMP_100.B.1_EXP,8.14,EUP60985_55,6,1,28.82,0.2440010103561495,6.914500000000001,4.722999568668068,1672.197144582478
TMP_100.B.2_EXP,3.79,EUP60985_56,20,1,5.14,0.2140692093963125,7.0245999999999995,1.6407310560471953,222.51603240323436
TMP_100.B.3_EXP,27.62,EUP60985_57,3,1,9.12,0.2251831270522861,6.995000000000001,10.354535427182645,341.902111136516
TMP_100.B.4_EXP,28.34,EUP60985_58,4,1,20.82,0.23768628441525655,6.979399999999999,7.34097890541976,539.3055074482689
TMP_100.B.5_EXP,20.15,EUP60985_59,3,1,10.27,0.2395807021975249,7.004500000000001,9.745498330697584,496.70604395168334
TMP_100.B.6_EXP,14.72,EUP60985_60,4,1,7.19,0.4080575903005812,6.994300000000001,4.285118183225006,209.30706343334097
TMP_100.C.1_EXP,8.61,EUP60985_61,6,1,27.27,0.2542308663803989,7.0051000000000005,4.592348219903962,1454.5102898580842
TMP_100.C.2_EXP,4,EUP60985_62,19,1,5.36,0.22404647638292555,6.9606,1.63514005814988,219.10876779208394
TMP_100.C.3_EXP,27.68,EUP60985_63,2.5,1,13.53,0.2397069967163425,6.9563999999999995,11.608171801896733,567.408108669302
TMP_100.C.4_EXP,28.05,EUP60985_64,4,1,20.05,0.24349583228087912,6.9045000000000005,7.088930368257259,506.7132045759645
TMP_100.C.5_EXP,18.91,EUP60985_65,3,1,42.04,0.23629704470825977,6.9444,9.796144521646173,2177.8419655737976
TMP_25.A.1_EXP,7.64,EUP60985_66,6,1,18.09,0.220889113412478,6.8798,5.190990699447301,1229.1233213743676
TMP_25.A.2_EXP,4.03,EUP60985_67,20,1,28.66,0.2416014144986108,7.0017,1.449018834291688,1030.4932950570662
TMP_25.A.3_EXP,30.41,EUP60985_68,3,1,7.95,0.23351856529426604,6.988400000000001,9.975509500630983,260.7869139428356
TMP_25.A.4_EXP,27.54,EUP60985_69,4,1,13.7,0.22884566809800516,6.9647,7.608511948123599,378.49169821820374
TMP_25.A.5_EXP,19.31,EUP60985_70,3,1,9.39,0.2366759282647136,7.0244,9.893133973674837,481.07989649304363
TMP_25.A.6_EXP,12.33,EUP60985_71,6,1,13.13,0.2346552159636277,6.9153,4.911674327233573,523.0355548789685
TMP_25.B.2_EXP,3.75,EUP60985_72,20,1,29.58,0.24096994190452173,6.983099999999999,1.4489566509433938,1142.937006264149
TMP_25.B.3_EXP,32.45,EUP60985_73,3,1,9.12,0.2321293255872692,6.937099999999999,9.961544758795805,279.96698983117943
TMP_25.B.4_EXP,25.62,EUP60985_74,4,1,13.2,0.2467794897701443,6.9582,7.049005578300911,363.1806152754567
TMP_25.B.5_EXP,17.96,EUP60985_75,3,1,11.81,0.22467794897701465,6.910799999999999,10.252897582911736,674.2022297003764
TMP_25.B.6_EXP,11.69,EUP60985_76,6,1,13.56,0.24046476382925028,6.9375,4.808396796218478,557.7575753355225
TMP_25.C.1_EXP,6.96,EUP60985_77,12,1,28.42,0.2386966405657984,6.9876000000000005,2.4394980952381062,996.1283888888934
TMP_25.C.3_EXP,30.87,EUP60985_78,3,1,7.38,0.23579186663298712,6.9135,9.773449919657246,233.65098933291375
TMP_25.C.5_EXP,16.21,EUP60985_79,4,1,8.75,0.2442535993937869,6.999300000000001,7.163968123060997,386.70401651316297
TMP_5.A.1_EXP,5.17,EUP60985_80,12,1,29.86,0.24501136650669356,6.9769,2.3729851460481104,1370.5480940231446
TMP_5.A.2_EXP,13.65,EUP60985_81,4,1,10.45,0.22657236675928297,6.964700000000001,7.684851532887392,588.3274616752618
TMP_5.A.3_EXP,27.59,EUP60985_82,2.5,1,9.91,0.24235918161151743,6.99,11.53659614382494,414.38081835920684
TMP_5.A.4_EXP,17.7,EUP60985_83,3,1,11.74,0.21204849709522655,6.9673,10.952368751240792,726.4452493760842
TMP_5.A.5_EXP,12.43,EUP60985_84,6,1,14.26,0.24349583228087912,6.9611,4.7646948305670795,546.6174439572529
TMP_5.A.6_EXP,9.71,EUP60985_85,6,1,8.68,0.234528921444809,6.983900000000001,4.9630694848321735,443.66058834545066
TMP_5.B.1_EXP,6.61,EUP60985_86,12,1,21.83,0.2433695377620604,6.913500000000001,2.367284769071102,781.8128064874758
TMP_5.B.2_EXP,12.87,EUP60985_87,4,1,11.55,0.23844405152816436,6.7442,7.071050794491505,634.58148155693
TMP_5.B.3_EXP,27.64,EUP60985_88,2.5,1,3.42,0.23932811315988972,6.985400000000001,11.675017878627928,144.4593384403311
TMP_5.B.4_EXP,17.13,EUP60985_89,3,1,9.91,0.23566557211416955,6.9979,9.898065773490561,572.6201507022269
TMP_5.B.5_EXP,12.37,EUP60985_90,6,1,23.38,0.23869664056579953,6.9144,4.8278852910052885,912.4976402886309
TMP_5.B.6_EXP,8.25,EUP60985_91,6,1,8.5,0.2277090174286446,6.962,5.0956845997411495,525.009928458179
TMP_5.C.1_EXP,5.01,EUP60985_92,12,1,19.96,0.2400858802727953,6.9281,2.404729782570586,958.0520251518743
TMP_5.C.2_EXP,13.78,EUP60985_93,4,1,11.67,0.23629704470825977,6.9855,7.390591795831103,625.894094755798
TMP_5.C.3_EXP,28.83,EUP60985_94,3,1,8.78,0.21091184642586489,7.0153,11.087254570858295,337.655550232868
TMP_5.C.4_EXP,16.14,EUP60985_95,4,1,12.83,0.24122253094215804,7.0104,7.26549047120416,577.5479724011733
TMP_5.C.5_EXP,12.24,EUP60985_96,6,1,13.36,0.24286435968679007,6.9853000000000005,4.7936908823019495,523.2329263689056
TMP_5.C.6_EXP,7.63,EUP60985_97,6,1,8.75,0.2370548118211675,6.990200000000001,4.914615840880828,563.6027340459665
